,link,category,name,img_url,brand,short_desc,priority_price,priority_store,num_of_product,num_of_store,lowest_price,highest_price
0,https://www.sosanhgia.com/p186133-laptop-hp-pavilion-15-cs3060tx-8rj61pa.html,"['Máy tính - Thiết bị VP', 'Laptop', 'Laptop HP']",Laptop HP Pavilion 15-CS3060TX 8RJ61PA,https://img.sosanhgia.com/images/500x0/b54bfba3268549b898091d941159794e/laptop-hp-pavilion-15cs3060tx-8rj61pa.jpeg,HP,"Bộ VXL: Core i5 1035G1 1.0Ghz-6Mb
 - Cạc đồ họa: Nvidia MX250 2GB DDR5
 - Bộ nhớ: 8Gb",17.100.000,Shopee,19.0,14.0,16.790.000,18.290.000
1,https://www.sosanhgia.com/p2884-macbook-air-md711-116inch.html,"['Máy tính - Thiết bị VP', 'Laptop', 'Macbook']",Macbook AIR MD711 11.6inch,https://img.sosanhgia.com/images/500x0/10e76abe9a9540e2a05de9fae6429ea5/macbook-air-md711-116inch.jpeg,Apple,,9.900.000,Lazada,5.0,3.0,9.900.000,12.183.024
2,https://www.sosanhgia.com/p5498-macbook-pro-mf839-2015.html,"['Máy tính - Thiết bị VP', 'Laptop', 'Macbook']",Macbook Pro MF839 2015,https://img.sosanhgia.com/images/500x0/53d11ee6ea1b4ce19f74e7deefa97baf/macbook-pro-mf839-2015.jpg,Apple,"CPU: Core i5 5257U

RAM/ HDD: 8Gb/ 128Gb SSD

Màn hình: 13.3Inch

VGA: VGA onboard, Intel Iris Graphics 6100

HĐH: Mac OS X

Màu sắc: Silver",23.978.740,Fado,4.0,2.0,18.572.680,19.550.202
3,https://www.sosanhgia.com/p39528-macbook-air-mc965.html,"['Máy tính - Thiết bị VP', 'Laptop', 'Macbook']",Macbook Air MC965,https://img.sosanhgia.com/images/500x0/b674cc0e8e57476f81698c26b08b920e/macbook-air-mc965.jpg,Apple,"Độ lớn màn hình (inch) 13.3 inch
 Độ phân giải tối đa (Max Resolution) WSXGA or WXGA+ (1440 × 900)
 Loại bộ vi xử lý (CPU) Intel Core i
 Processor Model i5-2557M (Sandy Bridge)
 Tốc độ CPU 1.70GHz
 CPU FSB 1066MHz
 Bộ nhớ đệm 3.0MB L3 cache",16.142.399,Fado,,,,
4,https://www.sosanhgia.com/p167163-mang-boc-thuc-pham-ringo-st618.html,"['Nhà cửa đời sống', 'Vật dụng nhà bếp - Phòng ăn', 'Vật dụng nhà bếp - Phòng ăn  KHÁC']",Màng bọc thực phẩm Ringo ST618,https://img.sosanhgia.com/images/500x0/a128e6b31c80400faa9c69f495749411/mng-bc-thc-phm-ringo-st618.jpeg,KHÁC,"- Sản phẩm không chứa DEHA , DEHP độc hại
 - Làm từ chất liệu nhựa PVC an toàn vệ sinh thực phẩm
 - Màng bọc chắc chắn, bảo quản thực phẩm không bị nhiễm khuẩn, ôi thiu
 - Sử dụng được trong lò vi sóng và tủ lạnh",357.000,Tiki,,,,
5,https://www.sosanhgia.com/p37449-macbook-pro-md102-133inch.html,"['Máy tính - Thiết bị VP', 'Laptop', 'Macbook']",Macbook pro MD102 13.3inch,https://img.sosanhgia.com/images/500x0/f4b11a494e214c2a99dd3b4e88209156/macbook-pro-md102-133inch.jpeg,Apple,"Hệ điều hành: Mac OS Leopard OX 10.5

Bộ vi xử lý: Intel Core i7 Processor 2.9GHz

RAM: 8GB DDR3

Ổ cứng: 750GB

Màn hình: 13.3 inch",20.886.797,Fado,3.0,2.0,15.163.035,16.186.811
6,https://www.sosanhgia.com/p58775-nguoi-hoc-viec-cua-doi-biet-kich-phan-5-ga-phu-thuy-phuong-bac.html,"['Sách', 'Sách Văn Học', 'Truyện Giả tưởng', 'Truyện Giả tưởng  KHÁC']",Người Học Việc Của Đội Biệt Kích - Phần 5: Gã Phù Thủy Phương Bắc,https://img.sosanhgia.com/images/500x0/8be6a4741ba64a50a01e913d5c363390/nguoi-hoc-viec-cua-doi-biet-kich-phan-5-ga-phu-thuy-phuong-bac.jpg,KHÁC,"Cuộc phiêu lưu đầu tiên của Will khi trở thành một Biệt Kích
chính thức đã bắt đầu!Thời gian cứ thế trôi qua kể từ khi chàng
trai học việc Will và bậc thầy của cậu, Halt, đã lãnh đạo Araluen
chống lại quân xâm lược và giành lấy chiến thắng. Giờ đây,...",54.990,Tiki,8.0,6.0,54.990,75.500
7,https://www.sosanhgia.com/p37455-macbook-pro-me662-133inch.html,"['Máy tính - Thiết bị VP', 'Laptop', 'Macbook']",Macbook pro ME662 13.3inch,https://img.sosanhgia.com/images/500x0/0aa27ea53f61448cab312ba8f331a252/macbook-pro-me662-133inch.jpg,Apple,"Hệ điều hành: Mac OS X Mountain Lion
 Bộ vi xử lý: Intel Core i5 2.6GHz
 RAM: 8GB DDR3
 Màn hình: 13.3 inch LED-backlit Retina",19.574.044,US Express,,,,
8,https://www.sosanhgia.com/p13785-tai-nghe-nhet-tai-audio-technica-ath-chx5is.html,"['Kỹ thuật số', 'Tai nghe', 'Tai nghe Audio Technica']",Tai nghe nhét tai Audio Technica ATH-CHX5IS,https://img.sosanhgia.com/images/500x0/e7d5061790054ebb8cf7caa36418f880/tai-nghe-nhet-tai-audio-technica-ath-chx5is.jpeg,Audio-Technica,"Đường kính củ loa: 13,5 mm

Tần số đáp ứng: 20 ~ 22.000 Hz

Độ nhạy: 100 dB/mW

Trở kháng: 19 Ω

Công suất đầu vào tối đa: 10 mW

Độ dài dây cáp: 1,2 m

Đầu cắm: Giắc cắm mini chữ L mạ vàng có đường kính 3,5 mm",1.568.000,Lazada,3.0,2.0,1.568.000,1.600.000
9,https://www.sosanhgia.com/p63627-phan-phu-cathy-doll-speed-white-cc-powder-pact-spf40-pa-12g.html,"['Sức khỏe - Làm đẹp', 'Mỹ phẩm', 'Trang điểm', 'Kem / Phấn', 'Phấn trang điểm', 'Phấn trang điểm Cathy Doll']",Phấn Phủ Cathy Doll Speed White CC Powder Pact SPF40 PA+ + +12g,https://img.sosanhgia.com/images/500x0/622ecf7ef8da4613bee6e1ccc08b2e76/phan-phu-cathy-doll-speed-white-cc-powder-pact-12g.jpg,Cathy Doll,,98.000,Lazada,13.0,4.0,98.000,199.000
